id;rut_doctor;nombre;apellido_paterno;apellido_materno;telefono;correo;especialidad
1;burgeon clinking masculinize;throughout;into gadzooks;lieu;9311;lamp anenst;cauliflower
2;harp embarrassment ah;unto vanish nearly;event;incidentally;9341;untidy who notwithstanding;off
3;handful;dwell deer;gently;soupy minor bin;21386;rigid;nor
4;unlike;waver;in;minus;2854;masquerade brush;thoughtfully ah below
5;or preregister cow;hence;as troubled;charlatan disappointment boohoo;27486;yahoo;suffocate mesh dusk
6;mysteriously;pfft jungle although;gosh;free striking brr;15741;strange however;actually aboard sundae
7;saloon ew;mesh phooey boohoo;but despite gloom;recovery;9988;dramatic;valuable
8;regarding hmph;instructive unless anenst;clavicle worthwhile reluctantly;stock blank someplace;20449;underpants hollow;actually yuppify
9;sunbeam lonely distorted;communicate for;ouch oily;giving;10626;tidy indeed;geez chubby
10;without;enfold scaly above;although;those antagonize outside;24042;including often;beside that yowza
