id;rut_paciente;nombres;apellido_paterno;apellido_materno;telefono;correo;direccion;comuna
1;oof boo cruel;nautical incidentally insignificant;simple out;squiggly;31029;reckon;grimy violin;tiny barring er
2;whose depute yowza;grubby into;stigmatize birdbath cafe;favorable runny;29656;climb;psst aboard often;cinema
3;hassle;bonfire freckle;whopping;couch meh;10139;among round forenenst;yahoo for;ack absent
4;front pro;uh-huh zowie cheerfully;testify;lightly regular howl;11943;anesthetize intensely;which making exterior;excellent twist
5;though supposing;fooey barring;who;merrily describe;5458;oh anenst scarcely;yahoo until frilly;ack but
6;whereas sonnet what;habit how;smooth lavish;rebel;16136;decouple far;near overfeed;rewrite since off
7;status;refute off;on hence;lest;9527;below switch;through why who;amendment ew
8;cafe;whereas;wolf phew tinderbox;devoted knowingly;19214;extra-large stranger exhausted;baptise;upon governance yieldingly
9;proper splay;tusk colorfully meanwhile;solemnly apropos;tankful dearly;10408;cutlet knowingly unlearn;comestible under;woot postbox zowie
10;futon baseboard duh;eventually runny;suburban how;dwell whose boohoo;6775;meanwhile parsnip ascribe;creature concerning clearly;gosh breakable
